"strata_def","index","label","lowerht","upperht"
"cermb",1,"ground",-999,0.3
"cermb",2,"upto0.5m",0.3,0.5
"cermb",3,"upto1m",0.5,1
"cermb",4,"upto1.5m",1,1.5
"cermb",5,"upto2m",1.5,2
"cermb",6,"upto2.5m",2,2.5
"cermb",7,"upto3m",2.5,3
"cermb",8,"upto3.5m",3,3.5
"cermb",9,"upto4m",3.5,4
"cermb",10,"upto4.5m",4,4.5
"cermb",11,"upto5m",4.5,5
"cermb",12,"upto5.5m",5,5.5
"cermb",13,"upto6m",5.5,6
"cermb",14,"upto6.5m",6,6.5
"cermb",15,"upto7m",6.5,7
"cermb",16,"upto7.5m",7,7.5
"cermb",17,"upto8m",7.5,8
"cermb",18,"upto8.5m",8,8.5
"cermb",19,"upto9m",8.5,9
"cermb",20,"upto9.5m",9,9.5
"cermb",21,"upto10m",9.5,10
"cermb",22,"upto11m",10,11
"cermb",23,"upto12m",11,12
"cermb",24,"upto13m",12,13
"cermb",25,"upto14m",13,14
"cermb",26,"upto15m",14,15
"cermb",27,"upto16m",15,16
"cermb",28,"upto17m",16,17
"cermb",29,"upto18m",17,18
"cermb",30,"upto19m",18,19
"cermb",31,"upto20m",19,20
"cermb",32,"upto21m",20,21
"cermb",33,"upto22m",21,22
"cermb",34,"upto23m",22,23
"cermb",35,"upto24m",23,24
"cermb",36,"upto25m",24,25
"cermb",37,"upto26m",25,26
"cermb",38,"upto27m",26,27
"cermb",39,"upto28m",27,28
"cermb",40,"upto29m",28,29
"cermb",41,"upto30m",29,30
"cermb",42,"upto35m",30,35
"cermb",43,"upto40m",35,40
"cermb",44,"upto45m",40,45
"cermb",45,"upto50m",45,50
"cermb",46,"upto55m",50,55
"cermb",47,"upto60m",55,60
"cermb",48,"upto65m",60,65
"cermb",49,"upto70m",65,70
"cermb",50,"upto75m",70,75
"cermb",51,"upto80m",75,80
"cermb",52,"over80m",80,999
