"strata_def","index","label","lowerht","upperht"
"cermb_old",1,"ground",-999,0.3
"cermb_old",2,"upto0.5m",0.3,0.5
"cermb_old",3,"upto1m",0.5,1
"cermb_old",4,"upto1.5m",1,1.5
"cermb_old",5,"upto2m",1.5,2
"cermb_old",6,"upto2.5m",2,2.5
"cermb_old",7,"upto3m",2.5,3
"cermb_old",8,"upto3.5m",3,3.5
"cermb_old",9,"upto4m",3.5,4
"cermb_old",10,"upto4.5m",4,4.5
"cermb_old",11,"upto5m",4.5,5
"cermb_old",12,"upto5.5m",5,5.5
"cermb_old",13,"upto6m",5.5,6
"cermb_old",14,"upto6.5m",6,6.5
"cermb_old",15,"upto7m",6.5,7
"cermb_old",16,"upto7.5m",7,7.5
"cermb_old",17,"upto8m",7.5,8
"cermb_old",18,"upto8.5m",8,8.5
"cermb_old",19,"upto9m",8.5,9
"cermb_old",20,"upto9.5m",9,9.5
"cermb_old",21,"upto10m",9.5,10
"cermb_old",22,"upto10.5m",10,10.5
"cermb_old",23,"upto11m",10.5,11
"cermb_old",24,"upto11.5m",11,11.5
"cermb_old",25,"upto12m",11.5,12
"cermb_old",26,"upto12.5m",12,12.5
"cermb_old",27,"upto13m",12.5,13
"cermb_old",28,"upto13.5m",13,13.5
"cermb_old",29,"upto14m",13.5,14
"cermb_old",30,"upto14.5m",14,14.5
"cermb_old",31,"upto15m",14.5,15
"cermb_old",32,"upto15.5m",15,15.5
"cermb_old",33,"upto16m",15.5,16
"cermb_old",34,"upto16.5m",16,16.5
"cermb_old",35,"upto17m",16.5,17
"cermb_old",36,"upto17.5m",17,17.5
"cermb_old",37,"upto18m",17.5,18
"cermb_old",38,"upto18.5m",18,18.5
"cermb_old",39,"upto19m",18.5,19
"cermb_old",40,"upto19.5m",19,19.5
"cermb_old",41,"upto20m",19.5,20
"cermb_old",42,"upto20.5m",20,20.5
"cermb_old",43,"upto21m",20.5,21
"cermb_old",44,"upto21.5m",21,21.5
"cermb_old",45,"upto22m",21.5,22
"cermb_old",46,"upto22.5m",22,22.5
"cermb_old",47,"upto23m",22.5,23
"cermb_old",48,"upto23.5m",23,23.5
"cermb_old",49,"upto24m",23.5,24
"cermb_old",50,"upto24.5m",24,24.5
"cermb_old",51,"upto25m",24.5,25
"cermb_old",52,"upto25.5m",25,25.5
"cermb_old",53,"upto26m",25.5,26
"cermb_old",54,"upto26.5m",26,26.5
"cermb_old",55,"upto27m",26.5,27
"cermb_old",56,"upto27.5m",27,27.5
"cermb_old",57,"upto28m",27.5,28
"cermb_old",58,"upto28.5m",28,28.5
"cermb_old",59,"upto29m",28.5,29
"cermb_old",60,"upto29.5m",29,29.5
"cermb_old",61,"upto30m",29.5,30
"cermb_old",62,"over30m",30,999
